Title,Authors,Publication Date,DOI,Source
Focus Web Crawler on Drug Herbs Interaction Patterns,Nain F.N.M.,2022-11-01,10.31449/inf.v46i4.3469,Informatica (Slovenia)
Unsupervised model for aspect categorization and implicit aspect extraction,AL-Janabi O.M.,2022-06-01,10.1007/s10115-022-01678-5,Knowledge and Information Systems
DeepNC: a framework for drug-target interaction prediction with graph neural networks,Tran H.N.T.,2022-05-11,10.7717/peerj.13163,PeerJ
Turbo Similarity Searching: Effect of Partial Ranking and Fusion Rules on ChEMBL Database,Abdulhakeem Mansour Alhasbary A.,2022-05-01,10.1002/minf.202100106,Molecular Informatics
Automated classification of eight different Electroencephalogram (EEG) bands using hybrid of Fast Fourier Transform (FFT) with machine learning methods,Nor N.S.M.,2022-03-31,10.31117/neuroscirn.v5i1.116,Neuroscience Research Notes
A Seed-Guided Latent Dirichlet Allocation Approach to Predict the Personality of Online Users Using the PEN Model,Sagadevan S.,2022-03-01,10.3390/a15030087,Algorithms
DataAcquisition and Data Processing using Electroencephalogram in Neuromarketing: A Review,Amran A.S.,2022-01-01,10.47836/pjst.30.1.02,Pertanika Journal of Science and Technology
Predicting heritability of oil palm breeding using phenotypic traits and machine learning,Ahmad Latif N.,2021-11-01,10.3390/su132212613,Sustainability (Switzerland)
Text categorisation in Quran and Hadith: Overcoming the interrelation challenges using machine learning and term weighting,Rostam N.A.P.,2021-07-01,10.1016/j.jksuci.2019.03.007,Journal of King Saud University - Computer and Information Sciences
Comparative studies on drug-target interaction prediction using machine learning and deep learning methods with different molecular descriptors,Ismail H.,2021-03-30,10.1109/WIDSTAIF52235.2021.9430198,"2021 International Conference of Women in Data Science at Taif University, WiDSTaif 2021"
Framing twitter public sentiment on Nigerian government COVID-19 palliatives distribution using machine learning,Adamu H.,2021-03-02,10.3390/su13063497,Sustainability (Switzerland)
A Complete Proposed Framework for Coastal Water Quality Monitoring System with Algae Predictive Model,Rostam N.A.P.,2021-01-01,10.1109/ACCESS.2021.3102044,IEEE Access
Development of a Low-Cost Solar Powered &amp; Real-Time Water Quality Monitoring System for Malaysia Seawater Aquaculture: Application &amp; Challenges,Rostam N.A.P.,2020-08-26,10.1145/3416921.3416928,ACM International Conference Proceeding Series
The effects of microclimate and air-infiltration on energy and long-term thermal comfort in high-rise buildings in tropical climate,Roslan N.H.,2020-06-10,10.1088/1755-1315/476/1/012079,IOP Conference Series: Earth and Environmental Science
Big brain data initiative in universiti sains malaysia: Challenges in brain mapping for Malaysia,Shekh Ibrahim S.A.,2020-01-01,10.21315/mjms2020.27.4.1,Malaysian Journal of Medical Sciences
SAERMA: Stacked Autoencoder Rule Mining Algorithm for the Interpretation of Epistatic Interactions in GWAS for Extreme Obesity,Montanez C.A.C.,2020-01-01,10.1109/ACCESS.2020.3002923,IEEE Access
The impact of big data market segmentation using data mining and clustering techniques,Yoseph F.,2020-01-01,10.3233/JIFS-179698,Journal of Intelligent and Fuzzy Systems
Aspect Categorization Using Domain-Trained Word Embedding and Topic Modelling,Al-Janabi O.M.,2020-01-01,10.1007/978-981-15-1289-6_18,Lecture Notes in Electrical Engineering
Criminality recognition using machine learning on malay language tweets,Malim N.H.A.H.,2019-10-01,N/A,Pertanika Journal of Science and Technology
Storage consumption reduction using improved inverted indexing for similarity search on LINGO profiles,Javeed M.J.b.M.,2019-01-01,10.14569/ijacsa.2019.0100505,International Journal of Advanced Computer Science and Applications
Analogy-based Common-Sense Knowledge for Opinion-Target Identification and Aggregation,Mustafa A.J.O.,2018-07-01,10.1109/ICISPC44900.2018.9006687,"2018 2nd International Conference on Imaging, Signal Processing and Communication, ICISPC 2018"
Credit card fraud detection using machine learning as data mining technique,Yee O.,2018-01-01,N/A,"Journal of Telecommunication, Electronic and Computer Engineering"
N-LibSys: Library system using NFC technology,Mun S.,2018-01-01,10.1007/978-981-10-5281-1_3,Lecture Notes in Electrical Engineering
NFC-based waste management tracking and monitoring system,Yeong B.C.,2017-03-22,10.1145/3018896.3025134,ACM International Conference Proceeding Series
Smart university: Reservation system with contactless technology,Ching L.,2017-03-22,10.1145/3018896.3018903,ACM International Conference Proceeding Series
Polarity classification on online customer review using hybrid approach,Kit L.,2017-01-01,10.1166/asl.2017.7308,Advanced Science Letters
